"Report Written:","Monday, May 27, 2019"
"Project Path:","C:\design spark work space\Forå„îy\SympleServoBoard\SympleServoBord.prj"
"Design Path:","C:\design spark work space\Forå„îy\SympleServoBoard\SympleServoBord.pcb"
"Design Title:",
"Created:","2019/04/21 18:05:51"
"Last Saved:","2019/05/27 17:55:25"
"Editing Time:","10398 min"
"Units:","mm (precision 2)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"CC1","1","1EUTCX101M","","USER","","","","",""
"IC2","1","AP7333-33SAG-7","","SOT96P240X135-3N","Diodes Inc.","AP7333-33SAG-7","7513102P","","LDO Regulator Pos 3.3V 0.3A 3Pin SOT23 Diodes Inc AP7333 AP7333-33SAG-7, Single Linear Voltage Regulator, 300mA 3.3 V, +/-2%, 3-Pin SOT-23"
"2SLiPo","1","B2P-VH(LF)(SN)","","SHDR2W114P0X396_1X2_786X850X94","JST (JAPAN SOLDERLESS TERMINALS)","B2P-VH(LF)(SN)","1724971","","connector,multipole PCB use,B2P-VH,VH se JST VH Series, 3.96mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination, 10A"
"CONN7","1","BOX-10P_lay","","USER","","","","",""
"ST-Link","1","BOX-20P","","USER","","","","",""
"C4","1","C-chip","0.1u","1608","","","","",""
"C3","1","C-chip","0.1u","1608","","","","",""
"C1","1","C-chip","0.1u","1608","","","","",""
"C2","1","C-chip","0.1u","1608","","","","",""
"C5","1","C-chip","1u","1608","","","","",""
"C6","1","C-chip","1u","1608","","","","",""
"C7","1","C-chip","1u","1608","","","","",""
"Y1","1","CSTCE12M0G55-R0","","CSTCE12M0G55-R0","Murata Electronics","CSTCE12M0G55-R0","7214809P","","SMT ceramic resonator 12.0MHz CSTCE12M0G55-R0, Ceramic Resonator, 12MHz Fundamental 33pF, 3-Pin Cap Chip, 3.2 x 1.3 x 0.7mm"
"TX","1","FA1111C-TR","","LEDC1608X80N","Stanley Electric","FA1111C-TR","7002069P","","ChipLED 0603 Orange 1.6x0.8x0.7mm Stanley Electric FA1111C-TR, 1111C Series Orange LED, 605 nm 1608 (0603), Rectangle Lens SMD package"
"RX","1","FA1111C-TR","","LEDC1608X80N","Stanley Electric","FA1111C-TR","7002069P","","ChipLED 0603 Orange 1.6x0.8x0.7mm Stanley Electric FA1111C-TR, 1111C Series Orange LED, 605 nm 1608 (0603), Rectangle Lens SMD package"
"POWER","1","FA1111C-TR","","LEDC1608X80N","Stanley Electric","FA1111C-TR","7002069P","","ChipLED 0603 Orange 1.6x0.8x0.7mm Stanley Electric FA1111C-TR, 1111C Series Orange LED, 605 nm 1608 (0603), Rectangle Lens SMD package"
"7V","1","FA1111C-TR","","LEDC1608X80N","Stanley Electric","FA1111C-TR","7002069P","","ChipLED 0603 Orange 1.6x0.8x0.7mm Stanley Electric FA1111C-TR, 1111C Series Orange LED, 605 nm 1608 (0603), Rectangle Lens SMD package"
"IC14","1","MCP2551-I_SN","","SOIC127P600X175-8N","Microchip","MCP2551-I/SN","2509530197","","High Speed CAN Transceiver,MCP2551-I/SN"
"1","1","pinheader-3P_L","","USER","","","","",""
"2","1","pinheader-3P_L","","USER","","","","",""
"3","1","pinheader-3P_L","","USER","","","","",""
"4","1","pinheader-3P_L","","USER","","","","",""
"5","1","pinheader-3P_L","","USER","","","","",""
"6","1","pinheader-3P_L","","USER","","","","",""
"7","1","pinheader-3P_L","","USER","","","","",""
"8","1","pinheader-3P_L","","USER","","","","",""
"R3","1","R-1608","1k","1608","","","","",""
"R1","1","R-1608","10k","1608","","","","",""
"R16","1","R-1608","33k","1608","","","","",""
"TR","1","R-1608","120","1608","","","","",""
"R4","1","R-1608","150","1608","","","","",""
"R5","1","R-1608","150","1608","","","","",""
"R2","1","R-1608","150","1608","","","","",""
"IC1","1","STM32F303K8T6","","QFP80P900X900X160-32N","STMicroelectronics","STM32F303K8T6","","","ARM Microcontrollers - MCU 16/32-BITS MICROS"
